id,species,lat,long,date_time,image_url
103288972,Anatis mali,43.760160873,-103.3630900084,2021-09-05T14:55:00-06:00,https://inaturalist-open-data.s3.amazonaws.com/photos/172831895/square.jpeg
102988173,Anatis mali,46.064067,-79.767056,2021-08-04T22:13:31-04:00,https://static.inaturalist.org/photos/172271896/square.jpg
102982596,Anatis ocellata,55.620398653,37.6544983685,,https://static.inaturalist.org/photos/172261224/square.jpeg
102924185,Anatis ocellata,50.9937730488,13.7180332839,2021-12-12T12:21:06+01:00,https://static.inaturalist.org/photos/172153775/square.jpeg
102854781,Anatis ocellata,47.6348131,11.70370431,2021-06-15T13:29:00+02:00,https://inaturalist-open-data.s3.amazonaws.com/photos/172020335/square.jpeg
102824396,Anatis ocellata,64.546652433,39.4459417462,2021-07-01T16:37:29+03:00,https://inaturalist-open-data.s3.amazonaws.com/photos/171966405/square.jpeg
102666871,Anatis labiculata,38.5692429,-90.2708296,2014-05-28T22:53:00-05:00,https://inaturalist-open-data.s3.amazonaws.com/photos/171672699/square.jpg
102553129,Anatis hydropica,16.66433735,-92.5300441,2021-12-04T13:49:00+00:00,https://inaturalist-open-data.s3.amazonaws.com/photos/171458875/square.jpg
102296167,Anatis ocellata,51.9662083333,7.6073416667,2021-12-01T13:29:31+01:00,https://inaturalist-open-data.s3.amazonaws.com/photos/170968216/square.jpeg
102199305,Anatis ocellata,55.9760248896,37.2210328095,2021-11-29T11:24:00+03:00,https://inaturalist-open-data.s3.amazonaws.com/photos/170785314/square.jpg
102126306,Anatis ocellata,56.629360199,9.3462018967,2021-11-19T18:59:04+01:00,https://inaturalist-open-data.s3.amazonaws.com/photos/170658011/square.jpeg
102001241,Anatis ocellata,56.8130237263,9.6516571597,2021-11-27T13:18:13+01:00,https://static.inaturalist.org/photos/170427349/square.jpeg
101791578,Anatis mali,48.3813766208,-79.0089549909,2021-08-09T22:57:00-04:00,https://inaturalist-open-data.s3.amazonaws.com/photos/170035514/square.jpeg
101683108,Anatis lecontei,40.5713223681,-111.7507448596,2021-10-30T15:18:00+00:00,https://static.inaturalist.org/photos/169829868/square.jpg
101603159,Anatis ocellata,55.9578283972,11.7273650611,2021-07-11T11:25:44+02:00,https://static.inaturalist.org/photos/169704634/square.jpeg
101491688,Anatis labiculata,46.729553,-94.6858998,2020-07-10T16:12:00-05:00,https://inaturalist-open-data.s3.amazonaws.com/photos/169505690/square.jpeg
101461637,Anatis mali,46.7360277492,-71.4545521202,2021-07-25T22:36:00-04:00,https://inaturalist-open-data.s3.amazonaws.com/photos/169455160/square.jpeg
101436981,Anatis labiculata,48.3813766208,-79.0089549909,2021-08-05T22:44:00-04:00,https://inaturalist-open-data.s3.amazonaws.com/photos/169405515/square.jpeg
101404390,Anatis ocellata,54.6720194339,-5.9127044678,2021-11-18T14:07:00+00:00,https://inaturalist-open-data.s3.amazonaws.com/photos/169349489/square.jpg
101220158,Anatis labiculata,39.5722741039,-82.0424476478,2015-04-10T01:36:00-04:00,https://inaturalist-open-data.s3.amazonaws.com/photos/169010124/square.jpg
101214430,Anatis mali,56.3064733333,-121.001075,2021-07-28T12:05:00-07:00,https://inaturalist-open-data.s3.amazonaws.com/photos/168993692/square.jpg
101016335,Anatis mali,41.3484382629,-73.9525680542,2021-11-13T12:24:11-05:00,https://inaturalist-open-data.s3.amazonaws.com/photos/169381061/square.jpeg
100875348,Anatis ocellata,50.5596612959,-99.8312128592,2021-07-14T10:25:00-05:00,https://inaturalist-open-data.s3.amazonaws.com/photos/168408996/square.jpg
100837725,Anatis mali,56.325715,-120.9560666667,2021-07-26T15:37:00-07:00,https://inaturalist-open-data.s3.amazonaws.com/photos/168337282/square.jpg
100837724,Anatis mali,56.3257616667,-120.9560733333,2021-07-26T15:35:00-07:00,https://inaturalist-open-data.s3.amazonaws.com/photos/168337250/square.jpg
100725304,Anatis mali,43.4571174,-80.5197986,2021-11-09T18:11:19-05:00,https://static.inaturalist.org/photos/168140224/square.jpeg
100640154,Anatis ocellata,59.4378861111,27.1705388889,2015-06-03T09:44:00+02:00,https://inaturalist-open-data.s3.amazonaws.com/photos/167994025/square.jpeg
100614174,Anatis mali,43.13745633,-77.58308443,2021-11-08T13:26:09-05:00,https://static.inaturalist.org/photos/167951651/square.jpeg
100612954,Anatis mali,41.0461695299,-81.3923406601,2021-11-08T12:54:50-05:00,https://inaturalist-open-data.s3.amazonaws.com/photos/167949295/square.jpeg
100379608,Anatis ocellata,55.4201333333,38.79353,2021-11-05T17:42:57+00:00,https://static.inaturalist.org/photos/167526430/square.jpeg
100345270,Anatis labiculata,42.4900705693,-88.1852695392,2015-06-27T13:41:00-05:00,https://inaturalist-open-data.s3.amazonaws.com/photos/167461340/square.jpg
100307439,Anatis ocellata,44.5358497114,4.2500279099,2021-11-05T12:12:28+01:00,https://inaturalist-open-data.s3.amazonaws.com/photos/167396551/square.jpeg
100263465,Anatis lecontei,40.5732783333,-111.827195,2021-11-01T15:15:00-06:00,https://inaturalist-open-data.s3.amazonaws.com/photos/167318258/square.jpg
100224068,Anatis ocellata,53.9975700378,10.2524051666,2021-11-04T11:54:34+01:00,https://static.inaturalist.org/photos/170441660/square.jpeg
100107942,Anatis ocellata,50.5597965437,-99.8308431442,2021-07-10T10:33:00-05:00,https://inaturalist-open-data.s3.amazonaws.com/photos/167035603/square.jpg
99969124,Anatis ocellata,55.1252063713,25.0846999884,2021-11-01T14:11:55+02:00,https://static.inaturalist.org/photos/166774699/square.jpeg
99961610,Anatis ocellata,55.789819922,39.0581421485,2008-07-15T08:55:00+04:00,https://inaturalist-open-data.s3.amazonaws.com/photos/166759839/square.jpg
99825079,Anatis lecontei,39.7412413695,-104.9917339155,2021-10-30T15:30:02-06:00,https://inaturalist-open-data.s3.amazonaws.com/photos/166494369/square.jpg
99705566,Anatis ocellata,55.9664115906,12.3621482849,2021-10-29T15:55:15+03:00,https://inaturalist-open-data.s3.amazonaws.com/photos/166270217/square.jpeg
99705149,Anatis mali,44.1336472222,-77.9653388889,2021-05-21T10:57:00-04:00,https://inaturalist-open-data.s3.amazonaws.com/photos/166268913/square.jpeg
